feature	BS-082D10	BS-351D10	BS-364D10	JV-138D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-412D10	KT-417D10	KT-445D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-612D10	KT-663D10	KT-695D10	KT-705D10	KT-716D10	KT-723D10	KT-805D10
TG 58:8	1,33	0,84	0,00	3,65	2,34	0,56	1,37	0,63	1,01	1,21	0,00	2,05	1,67	1,67	1,25	1,05	0,00	0,00	3,48	1,30	1,15	0,00	0,00	3,86	3,77
TG 58:9	0,00	0,00	0,00	1,02	0,62	0,00	0,00	0,00	0,00	0,36	0,00	0,56	0,00	0,00	0,00	0,00	0,00	0,00	1,02	0,00	0,00	0,00	0,00	1,04	0,96
FA 14:0	2,42	2,94	3,58	2,42	2,75	6,35	10,31	5,43	3,05	2,79	1,89	2,78	0,00	2,56	1,80	2,45	2,16	2,73	2,19	8,61	3,16	3,66	1,98	1,77	2,77
FA 16:0	56,00	47,84	80,58	46,67	43,55	105,52	154,06	74,08	73,22	68,12	41,80	56,41	30,25	57,49	24,75	46,56	58,77	48,50	45,85	142,21	88,58	39,60	30,67	38,26	56,40
FA 16:1	6,26	7,07	10,10	6,73	5,49	16,54	48,84	16,48	6,48	5,55	2,48	6,13	4,21	6,09	1,70	4,56	9,49	5,38	3,28	31,81	12,27	5,21	1,20	3,84	6,25
FA 18:0	25,61	18,43	27,63	20,21	16,58	43,80	38,46	24,27	23,65	23,83	15,73	18,95	11,34	19,18	12,85	18,07	22,08	14,65	16,41	21,11	22,36	16,89	12,74	17,71	21,76
FA 18:1	66,26	66,63	114,87	74,20	52,63	190,71	378,31	120,00	121,12	118,24	63,49	91,66	46,67	92,77	36,55	77,33	93,14	61,18	66,02	217,46	164,80	51,61	38,04	62,54	95,90
FA 18:2	16,02	22,28	41,81	20,74	18,41	61,98	175,50	52,59	52,15	50,22	26,14	29,32	10,06	29,40	18,24	25,49	25,40	24,13	29,22	72,51	62,18	14,83	16,32	23,26	37,10
FA 18:3	0,00	0,00	0,00	1,53	0,00	1,92	15,86	6,84	1,66	1,73	0,00	1,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	6,03	3,77	0,00	0,00	0,00	0,00
FA 20:3	0,00	0,00	0,00	0,00	0,00	0,00	2,32	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
FA 20:4	0,00	0,00	0,00	0,00	0,00	0,00	1,80	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
FA 22:6	0,00	0,00	1,28	0,00	0,00	1,70	8,33	2,93	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,73	1,50	0,00	0,00	0,00	0,00
PI 34:1	0,00	3,98	4,62	4,76	5,91	3,02	5,15	0,00	0,00	0,00	4,02	0,00	0,00	0,00	0,00	0,00	4,58	6,53	3,21	3,36	0,00	3,39	0,00	0,00	0,00
PI 34:2	0,00	0,00	0,00	0,00	0,00	0,00	4,27	0,00	0,00	0,00	3,06	0,00	0,00	0,00	0,00	0,00	0,00	4,25	0,00	3,51	0,00	0,00	0,00	0,00	0,00
PI 36:2	0,00	4,41	5,48	5,53	6,20	5,02	7,34	0,00	0,00	4,40	6,75	4,81	0,00	4,04	2,51	4,43	4,11	9,41	4,69	7,67	0,00	4,29	3,75	2,56	3,86
PI 36:4	0,00	4,05	6,61	11,82	10,60	4,07	8,69	0,00	2,99	0,00	4,59	3,61	6,84	4,75	0,00	5,55	9,67	4,32	3,76	10,02	5,69	4,71	0,00	0,00	0,00
PI 38:3	0,00	3,45	3,09	4,66	8,08	2,30	4,05	0,00	0,00	0,61	2,45	0,00	0,00	4,30	1,59	1,86	1,02	3,06	3,06	5,00	0,00	0,72	1,80	0,00	1,23
PI 38:4	13,71	19,33	31,82	40,94	50,75	44,01	26,62	11,01	28,21	23,06	31,43	42,61	20,05	43,78	19,10	32,36	40,40	41,02	29,93	52,34	35,36	25,14	28,07	22,35	35,42
