feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3
Cer 42:2,O2	0,72	1,07	0,86	0,84	0,81	1,09	0,82	0,93	0,66	0,87	1,78	0,79	0,85	0,98	1,72	1,08	0,89	1,03	1,62	0,59
Cer 42:3,O2	0,00	0,00	0,00	0,00	0,00	0,13	0,00	0,11	0,00	0,00	0,28	0,00	0,00	0,00	0,00	0,16	0,00	0,00	0,00	0,00
HexCer 42:1,O2	0,00	0,00	0,00	0,00	0,00	1,37	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,48	1,16	0,00	0,00	0,00	0,00
HexCer 42:2,O2	0,00	2,71	0,00	0,00	0,00	1,26	0,00	1,26	0,00	0,00	2,06	0,00	0,00	0,00	0,00	1,27	1,43	1,77	0,00	0,00
LPC 14:0	0,89	1,39	1,10	0,78	1,68	0,78	0,27	1,01	0,21	0,29	0,38	0,99	0,92	1,09	2,49	0,64	1,59	1,50	0,83	0,81
LPC 15:0	2,06	2,02	2,27	2,03	2,29	2,02	1,72	2,20	1,72	1,68	1,90	2,26	2,03	2,15	3,69	1,97	2,19	2,16	1,72	1,79
LPC 16:0	99,19	126,61	114,69	98,23	127,88	87,95	62,76	102,02	61,45	60,43	124,86	116,93	112,88	150,47	171,00	71,14	121,94	104,43	107,02	98,01
LPC 16:1	1,82	2,29	2,45	1,76	2,88	1,04	0,89	2,45	0,99	0,98	1,55	2,11	1,96	2,50	3,12	1,12	2,76	2,47	2,16	1,95
LPC 17:0	0,73	0,42	1,47	0,94	0,91	0,95	0,45	0,85	0,33	0,36	1,03	1,13	0,54	0,90	2,34	0,79	1,23	1,07	0,41	0,40
LPC 18:0	31,26	19,21	46,96	35,51	35,31	30,69	23,70	34,36	22,49	22,23	41,59	40,21	35,28	46,15	36,48	24,52	46,98	34,51	37,80	28,95
LPC 18:1	15,85	13,75	22,43	19,82	22,12	13,69	15,87	20,56	15,44	13,26	18,75	20,12	15,90	22,50	24,99	12,89	24,62	19,98	22,70	19,71
LPC 18:2	17,57	7,21	19,46	23,70	15,29	13,25	17,26	18,71	21,30	11,34	19,84	20,13	13,86	29,87	30,22	11,53	31,05	16,99	25,11	17,55
