feature	BS-082D0	BS-364D0	KT-313D0	KT-412D0	KT-445D0	KT-537D0	KT-538D0	KT-539D0	KT-663D0	KT-695D0	KT-723D0	KT-193D0	KT-247D0	KT-312D0	KT-347D0	KT-417D0	KT-522D0	KT-525D0	KT-565D0	KT-705D0
FA 18:1	169.42	93.22	311.3	129.7	69.09	57.38	120.58	291.56	54.84	162.15	36.14	395.05	513.89	320.93	104.83	201.52	678.02	333.19	447.02	388.79
FA 18:2	62.22	42.07	87.2	50.38	26.24	27.71	49.41	83.56	20.88	72.74	19.44	117.64	145.17	127.1	44.36	90.49	168.77	92.74	141.07	124.35
FA 18:3	2.22	1.09	4.42	1.71	0.0	0.0	0.0	2.54	0.0	2.85	0.0	4.27	2.86	4.68	0.0	2.83	4.97	3.51	3.26	3.7
FA 20:3	1.35	0.0	1.99	0.0	0.0	0.0	0.0	2.09	0.0	0.0	0.0	2.87	4.79	3.17	0.0	1.74	5.68	2.13	3.29	3.62
FA 20:4	0.0	0.0	1.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01	2.88	3.11	0.0	0.0	2.98	1.5	0.0	2.18
PI 34:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.93	0.0
PI 34:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PI 36:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.29	3.0	5.81	0.0	6.48	0.0	4.13	12.49	3.2
PI 36:4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PI 38:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0
PI 38:4	5.83	8.34	7.71	3.33	5.69	6.85	0.0	0.0	0.0	3.81	8.55	23.68	12.62	15.21	9.12	13.66	13.09	23.53	21.29	12.03
