feature	mean_ctrl	mean_exp	sd_ctrl	sd_exp	FC	log2FC	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_pval	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
42:1	0.4433251663773072	0.2974152659940176	0.2775083853415205	0.06073482596564971	0.6708738608827184	-0.5758865615260614	t-test	-1.5978441073181082	0.12748358324839232	0.8945457380824153	0.43790641390622065	0.35861869375813815	no	no	42	1	ns	ns		-0.5758865615260614
42:2	1.5765176757141781	1.0857207995593796	0.636862113121961	0.16772507618068985	0.6886829220405266	-0.5380881933664655	t-test	-2.8717326579461617	0.0101456541080749	1.9937199480027519	0.3652435478906964	0.4374174472354645	yes	no	42	2	*	ns	*	-0.5380881933664655
42:3	0.640585830696957	0.46092294929197813	0.27387278803648274	0.0739622255926363	0.7195334757724726	-0.4748662860212108	t-test	-2.082345599338698	0.05185030225512792	1.2852487075998857	0.3986058814574622	0.399456297543015	no	no	42	3	ns	ns		-0.4748662860212108
42:4	0.04292255661061042	0.02892371503567706	0.038015247603737395	0.007503925949621738	0.6738581603624036	-0.5694831427629586	t-test	0.7026734283410279	0.49124771260259614	0.30869945881780586	0.6316042019176237	0.19955498939273777	no	no	42	4	ns	ns		-0.5694831427629586
49:1	0.011541183378090947	0.013008447103345436	0.010626079470080983	0.007009825170044796	1.1271328664649631	0.17265759048058188	t-test	1.2097210071776339	0.24203464313469814	0.6161224677160848	0.4831389258754788	0.31592797056173805	no	no	49	1	ns	ns		0.17265759048058188
49:2	0.06317386624126264	0.08337041410628598	0.050756054201607524	0.05416419582547285	1.3196978286542127	0.40020763336630716	t-test	1.1087452611836563	0.28213503322519723	0.5495429833528703	0.4954566437125415	0.3049943436413374	no	no	49	2	ns	ns		0.40020763336630716
50:0	0.03047983333633045	0.03558188896798116	0.020679210364333924	0.0263064887020634	1.1673911919186681	0.22328808809791195	t-test	0.36583213371159146	0.7187543704151671	0.14341950154903294	0.8214335661887624	0.0854275545713462	no	no	50	0	ns	ns		0.22328808809791195
51:1	0.37937202116858276	0.43715813996296243	0.22731084491515188	0.1747580796776349	1.152320454777821	0.20454197913139985	t-test	0.9624245544600488	0.34858835906421115	0.45768712003322837	0.5326476871294367	0.2735599544384487	no	no	51	1	ns	ns		0.20454197913139985
51:2	0.34941981369953906	0.45736201659558173	0.15093455777870238	0.165640688362028	1.3089183803093105	0.388375138540421	t-test	1.3726950093528518	0.18670958216941674	0.7288333929426504	0.4481029972066002	0.34862215123104434	no	no	51	2	ns	ns		0.388375138540421
52:1	0.09410711295316952	0.09622915241073009	0.04405886504080399	0.040780405072557986	1.02254919305214	0.03217025037015973	t-test	0.14152884415720793	0.8890241417533162	0.05108644545510625	0.9015456085385742	0.045012297742913064	no	no	52	1	ns	ns		0.03217025037015973
54:2	0.9966485780597496	1.2245598361841339	0.3936441136949553	0.4625221462233389	1.2286776534293322	0.29710647079859215	t-test	1.0255521135697707	0.31868841625109656	0.49663372206017664	0.5214901356836126	0.2827539021150956	no	no	54	2	ns	ns		0.29710647079859215
