sig_pval	feature	mean_ctrl	mean_mild	mean_severe	sd_ctrl	sd_mild	sd_severe	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
no	22:5	0.009609960063934098	0.0966173638440409	0.133716835399452	0.0032745895141588753	0.1406493908491221	0.10672606240914893	One-way ANOVA	1.4366537060533768	0.25067444741322226	0.6008899337443072	0.2615733364311884	0.5824065280502941	no	22	5	ns	ns		0.6008899337443072
yes	22:6	0.029568453625002267	0.7063786559218179	0.9215211910941136	0.012131546814852534	0.28222451886521727	0.3850657215556034	One-way ANOVA	281.91288763468685	4.0260912907105027e-23	22.39511638180645	7.246964323278905e-22	21.139843876703143	yes	22	6	*	*	*	22.39511638180645
yes	30:0	0.09552976480155971	0.019193760284412918	0.022809314123033442	0.04933983894829986	0.01526692536607087	0.006393746059041705	One-way ANOVA	17.361653824823808	4.808572486522935e-6	5.317983832823734	7.526461283253289e-6	5.12340916807404	yes	30	0	*	*	*	5.317983832823734
yes	32:0	0.9959237378605669	0.3372565024333009	0.4160618438002603	0.6005024882126765	0.09600531359351325	0.10253644251827214	One-way ANOVA	47.19899858884483	6.57415746322299e-11	10.18215989797422	1.3523981067201577e-10	9.868895445893228	yes	32	0	*	*	*	10.18215989797422
yes	32:1	0.7015514710605779	0.2583582066192334	0.37471097426976124	0.22150602656135193	0.08155739573587861	0.09624123669512394	One-way ANOVA	41.16692651047406	3.904847928955798e-10	9.408395874693555	7.598622996886959e-10	9.119265102329281	yes	32	1	*	*	*	9.408395874693555
yes	32:2	0.0572845054006854	0.005098830882407066	0.0023244148872059644	0.018254264260512652	0.0066582679298007605	0.006222017604637632	One-way ANOVA	65.41718066468707	7.102898528955234e-13	12.148564389555679	1.6497054647896029e-12	11.782593586958683	yes	32	2	*	*	*	12.148564389555679
yes	33:1	0.06107229452521195	0.04956645443950895	0.04036623170643591	0.01805050172623798	0.011986776737281922	0.006071882543044153	One-way ANOVA	6.492355599867671	0.0038303982657399384	2.416756067905822	0.004754977157470268	2.3228515650374915	yes	33	1	*	*	*	2.416756067905822
yes	34:1	15.707087167538202	6.908990993267277	8.519941478176932	2.2668128800311846	1.7311903048652393	1.6831849940492327	One-way ANOVA	81.36597120563779	2.8408785784880692e-14	13.546547327987561	8.522635735464208e-14	13.069426073267898	yes	34	1	*	*	*	13.546547327987561
yes	34:2	15.958061937737448	4.344104144571479	7.188781911564938	2.440197803145396	1.620966482095842	2.843511974631299	One-way ANOVA	71.00526748883586	2.1551523266645489e-13	12.666522028384042	5.747072871105463e-13	12.240553296111761	yes	34	2	*	*	*	12.666522028384042
yes	34:3	0.3330060217803968	0.07715569253808255	0.08455957610867333	0.07118086377949723	0.032186906158346476	0.03104904056122432	One-way ANOVA	91.37447060062858	4.853848955198716e-15	14.313913742413718	1.5885323853377615e-14	13.799003926804655	yes	34	3	*	*	*	14.313913742413718
yes	35:1	0.027906340767856003	0.02145350535927891	0.015294880914858911	0.010479724735247792	0.013414608152716917	0.008855443277485183	One-way ANOVA	3.4096461771677404	0.043744427717426364	1.359077260714824	0.04845536608699536	1.314658120926411	yes	35	1	*	*	*	1.359077260714824
yes	36:1	2.9460372234939194	1.055851177647096	1.0329890759356108	0.874619974057552	0.3146328930194253	0.1923421121537579	One-way ANOVA	70.73560445766603	2.2788767336773145e-13	12.64227916553115	5.859968743741666e-13	12.2321047004421	yes	36	1	*	*	*	12.64227916553115
yes	36:2	9.215464545777593	2.500642360884048	3.45625996961593	1.5412489030112941	0.5087547128054962	0.838918857177413	One-way ANOVA	147.51412549002515	2.3441947987540673e-18	17.63000630199319	1.1252135034019522e-17	16.948765064617604	yes	36	2	*	*	*	17.63000630199319
yes	36:3	5.972332766942106	1.2226166328747017	1.3411571103944318	1.2082819226801438	0.34189874383123836	0.4456480493100827	One-way ANOVA	196.1003869633966	2.0300779390138942e-20	19.692487288276986	1.8270701451125047e-19	18.73824477883766	yes	36	3	*	*	*	19.692487288276986
yes	36:4	9.656884605165233	1.9960086486970459	2.3975607743337477	1.8401772388904767	0.7298252237594408	0.7679679053385287	One-way ANOVA	159.79132308217174	6.26279405008147e-19	18.203231869694797	3.757676430048882e-18	17.425080619311153	yes	36	4	*	*	*	18.203231869694797
yes	36:5	0.6750803551082767	0.11307327384351604	0.12275274542709594	0.1658030740492813	0.028613158562816238	0.03535833733391243	One-way ANOVA	227.4228506942577	1.6326669939771017e-21	20.787102386865367	1.6793146223764477e-20	19.774867930448355	yes	36	5	*	*	*	20.787102386865367
yes	38:1	0.2497892593641572	0.2578212894459984	0.18287732005344823	0.05452145747071988	0.07649350660396648	0.02716145690366376	One-way ANOVA	6.011850678170047	0.005485536164936353	2.2607809173886055	0.006694213625007075	2.1743004325994812	yes	38	1	*	*	*	2.2607809173886055
yes	38:2	0.1630786418996222	0.12553833038623868	0.08192932976766937	0.03295792869038488	0.03315623552462903	0.018109658007273977	One-way ANOVA	30.072808163535544	1.755506930366316e-8	7.755597451693413	3.159912474659369e-8	7.500324946590108	yes	38	2	*	*	*	7.755597451693413
yes	38:3	1.7964526426774896	0.4777821182315393	0.3234073363548763	0.4045969145327727	0.18487708249843365	0.1498506116169697	One-way ANOVA	98.91363442910061	1.4219494049612276e-15	14.847115856163963	5.199949711311176e-15	14.284000856404752	yes	38	3	*	*	*	14.847115856163963
yes	38:4	5.62977399634745	1.5841559284881623	1.8213307057560266	1.0309983610855733	0.449872424695076	0.3683494878262798	One-way ANOVA	153.23528018689532	1.252494421758138e-18	17.90222419967633	6.936892182045071e-18	17.158835055551897	yes	38	4	*	*	*	17.90222419967633
