"feature","KT-539_D0_D60","BS-671_D0_D60","BS-064_D0_D60","KT-805_D0_D60","KT-926_D0_D60","KT-705_D0_D60","BS-336_D0_D60","BS-082_D0_D60","BS-351_D0_D60","KT-347_D0_D60","BS-377_D0_D60","KT-313_D0_D60","BS-364_D0_D60","KT-880_D0_D60","JV-138_D0_D60","KT-412_D0_D60","KT-515_D0_D60","KT-771_D0_D60","KT-723_D0_D60","KT-718_D0_D60","KT-417_D0_D60","KT-522_D0_D60","KT-312_D0_D60","JV-157_D0_D60","KT-538_D0_D60","KT-193_D0_D60","JV-035_D0_D60","KT-434_D0_D60","KT-247_D0_D60","KT-716_D0_D60","KT-974_D0_D60","KT-537_D0_D60","KT-612_D0_D60","KT-445_D0_D60","KT-525_D0_D60","KT-352_D0_D60","JV-148_D0_D60","BS-346_D0_D60","KT-663_D0_D60","KT-695_D0_D60"
"FA 16:0","0.35114","0.23402","0.02465","0.35225","0.40266","0.52543","0.51303","0.3435","0.29341","0.21905","0.64493","0.4899","-0.01156","0.253","0.38315","0.32959","0.20079","0.0746","-0.09228","0.38731","0.57925","0.92485","0.3631","0.382","0.53695","0.3234","0.22772","-0.22168","0.60738","0.40485","0.56253","0.09678","-0.09536","0.44354","0.43086","0.55942","0.00652","-0.0104","0.04001","0.45578"
"FA 16:1","1.45696","0.46266","0.62915","0.65693","1.12905","0.68575","0.55449","0.61581","0.59204","0.28637","1.39992","0.54446","0.15385","0.20368","0.74353","0.52959","0.33217","0.00658","-0.21871","0.48998","0.83435","1.83129","0.28208","0.59634","0.93852","0.41616","0.54232","0.22238","0.69102","0.56133","0.84465","0.72916","0.12235","0.33313","0.75254","1.17708","-0.07875","0.2915","-0.00193","1.15229"
"FA 18:0","0.29834","0.22679","0.01802","0.09809","0.19508","0.44658","0.4809","0.09145","0.19201","0.1884","0.47062","0.44593","0.08543","0.35026","0.39879","0.33049","0.18082","0.22899","-0.07067","0.35854","0.45797","0.86231","0.33142","0.19747","0.44474","0.34668","0.11505","-0.10482","0.6047","0.34375","0.44795","0.09777","-0.03025","0.46229","0.27393","0.41828","-0.09254","0.16475","0.14266","0.41071"
"FA 18:1","0.69933","0.38298","0.18616","0.57578","0.64008","0.88846","0.63708","0.53452","0.44198","0.27673","1.00987","0.59362","-0.19027","0.55888","0.71144","0.42368","0.33757","0.23941","-0.27235","0.62406","0.80502","1.58248","0.63027","0.62638","0.74581","0.59148","0.43175","-0.07033","0.79864","0.48595","0.77098","0.25132","-0.25441","0.41612","0.72153","0.92415","0.00236","0.09302","0.14142","0.79197"
"FA 18:2","0.53112","0.33344","0.11969","0.43598","0.4417","0.76515","0.43684","0.49313","0.33169","0.1997","0.82583","0.35301","-0.10676","0.40323","0.55901","0.37169","0.18189","0.0364","-0.17204","0.37016","0.70746","1.33033","0.29224","0.54496","0.64944","0.35835","0.25956","-0.13208","0.50342","0.45226","0.72946","0.37813","-0.25539","0.39202","0.51439","0.70933","-0.03878","-0.04939","-0.03762","0.71848"
"FA 18:3","0.50917","0","0.36011","0.46766","0.54777","0.75527","0.68494","0.29913","0.61559","0","0.58297","0.73238","-0.03203","0.05756","0.36849","0.21313","0.04786","-0.3621","0.02017","0.51587","0.48401","0.75266","-0.00456","0.46687","0","0.03734","0.38855","0.00479","0.58659","0.37266","0.48631","0","0","0.12057","0.56344","0.37307","-0.30527","-0.3927","0","0.58546"
"FA 20:3","0.45013","0","0.34613","0.35478","0.31387","0.74781","0.53247","0.52783","-0.01586","0","0.49035","0.47405","-0.00975","0.05756","0.40761","0.23805","0.04786","0.26442","0.02017","0.43136","0.33856","0.80146","0.62014","0.45637","0","0.59521","0.41436","0.00479","0.76268","0","0.04856","0","0","0.12057","0.40481","0.34699","-0.24667","0","0","0"
"FA 20:4","-0.03983","0","-0.0932","-0.09701","0","0.5856","0.00099","0.15676","-0.01586","0","0.33511","0.45475","-0.00975","0.05756","-0.0189","0.23805","0.04786","0.48093","0.02017","0","-0.09919","0.57657","0.28956","0","0","0.48606","-0.00061","0.00479","0.58883","0","0.04856","0","0","0.12057","0.3072","-0.14014","0.0086","0","0","0"
"FA 22:6","-0.03983","0","-0.0932","-0.09701","0","0.46699","0.00099","0.10467","-0.01586","0","0.35984","0.23078","0.16768","0.05756","0.31756","-0.03842","0.04786","0.01337","0.02017","0","0.29701","0.59368","0.2953","0","0","0.41573","-0.00061","0.00479","0.31409","0","0.04856","0","0","0.12057","0.33087","0.3282","-0.24667","0","0","0"
"PI 34:1","-0.03983","0","-0.0932","-0.52514","0","0.08317","0.00099","0.15676","-0.64526","0","-0.07313","-0.00162","-0.00975","-0.62908","-0.0189","-0.60269","0.04786","0.04637","0.02017","0","-0.09919","-0.02332","0","0","-0.63347","-0.57909","-0.55328","0.00479","0","0","0.04856","0","0","-0.4488","-0.09074","-0.14014","0.0086","-0.60746","0","0"
"PI 34:2","-0.03983","0","-0.0932","-0.09701","0","0.08317","0.00099","0.15676","-0.01586","0","-0.07313","-0.00162","-0.00975","-0.57287","-0.0189","-0.39944","0.04786","0.04637","0.02017","0","-0.09919","-0.02332","0","0","0","0.00749","-0.00061","0.00479","0","0","0.04856","0","0","-0.37636","-0.09074","-0.14014","0.0086","0","0","0"
