feature	severity	contrast	estimate	se	p_value	fdr_posthoc
SM 34:2;O2	mild	D3 - D0	-0.10220472959103201	0.02487876165761913	2.056641772636425e-4	8.090365648649249e-4
LPC O-16:0	mild	D3 - D0	-1.6172329700138937	0.3942634565068777	2.1056908145666853e-4	8.228818051661914e-4
SM 41:2;O2	severe	D3 - D0	-0.14058846346074183	0.034334324809266126	2.164731428673239e-4	8.404251428966692e-4
TG 49:2	mild	D10 - D0	0.9245804263292846	0.22622523631386998	2.2144873189211545e-4	8.541593944410167e-4
DG 34:1	mild	D10 - D0	0.24809705302087612	0.06073250353653026	2.2448964711063724e-4	8.603022605401194e-4
LPC 14:0	mild	D60 - D0	1.592363561543289	0.3902867101143237	2.288882879513121e-4	8.71536173353073e-4
SM 40:2;O2	severe	D60 - D0	-0.12803246352890263	0.031669275923331956	2.616706531815005e-4	9.900150827376517e-4
PC 36:2;P/36:3;O	mild	D10 - D0	-0.13450992373149623	0.033416366821493036	2.8157441889420376e-4	0.0010585772457161837
PC O-32:0	severe	D60 - D0	-0.5139847100391611	0.1293473330655485	3.386751297629331e-4	0.0012652391640200144
CAR 18:2	mild	D60 - D0	-0.7493235199778236	0.18912936166666897	3.5686478606600236e-4	0.0013248605182700336
PC 40:3;P/40:4;O	mild	D10 - D0	-0.8576713739290563	0.2171432173647088	3.734824034793416e-4	0.001377941289855459
SM 40:1;O2	severe	D60 - D0	-0.15727904392566647	0.039877785658202054	3.7852771645519034e-4	0.0013879349603356979
TG 51:1	severe	D60 - D0	-0.32846697299046307	0.08333001462739559	3.811829226674224e-4	0.0013890960494751465
PC 36:3;P/36:3;O	mild	D60 - D0	-0.1289985737737027	0.032759468038155985	3.904970198391755e-4	0.0014143611572223797
DG 32:0	mild	D60 - D0	0.8612728569204976	0.21929478760058807	4.0564099774609286e-4	0.0014603075918859342
PC 32:2	severe	D60 - D0	1.0284115435962324	0.26391357176450925	4.5032921413779015e-4	0.0016114189951677552
LPC 17:0	mild	D60 - D0	1.603094588338626	0.4114925619255719	4.5592903426117104e-4	0.0016216877027014106
PC 34:1;P/34:2;O	mild	D3 - D0	-0.16717103968119063	0.04299875169285656	4.694790613852806e-4	0.0016599438241836706
